epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.92031,2.0305,3.62665,1.50659,0.00222,0.04724,0.00117,0.0005,1.41373,3.65356,1.28975,6e-05,6e-05,6e-05
2,4.44421,1.52143,3.50509,1.32079,0.00556,0.11811,0.00317,0.00176,1.03685,3.50252,1.03725,0.000138891,0.000138891,0.000138891
3,5.96797,1.04024,3.28205,0.99111,0.02852,0.6063,0.04761,0.02657,1.03757,3.2671,0.89217,0.000216515,0.000216515,0.000216515
4,7.43725,1.01823,2.71715,0.93274,0.04296,0.91339,0.20966,0.12218,0.98304,3.18853,0.8788,0.000292872,0.000292872,0.000292872
5,8.81163,1.07167,2.1707,0.93913,0.04333,0.92126,0.25648,0.11609,0.96277,3.15271,0.86819,0.000367962,0.000367962,0.000367962
6,10.2101,1.76105,3.87643,1.25408,0.04444,0.94488,0.32783,0.14419,1.04593,3.09811,0.88292,0.000441784,0.000441784,0.000441784
7,11.6396,1.02533,1.52379,0.93001,0.04481,0.95276,0.29785,0.15547,1.07635,2.99893,0.8784,0.000514339,0.000514339,0.000514339
8,13.0767,0.90078,1.12077,0.87656,0.04519,0.96063,0.23792,0.13887,1.00028,2.92332,0.86225,0.000585627,0.000585627,0.000585627
9,14.4611,0.94885,1.04203,0.92591,0.04519,0.96063,0.32424,0.21071,1.02588,2.82215,0.87353,0.000655648,0.000655648,0.000655648
10,15.8462,0.97567,0.98567,0.90909,0.84789,0.17563,0.40086,0.26355,1.12766,2.73607,0.89661,0.000724402,0.000724402,0.000724402
11,17.2348,0.94368,0.86049,0.92413,0.96575,0.22207,0.4806,0.31841,1.05519,2.64284,0.87749,0.000791888,0.000791888,0.000791888
12,18.6151,0.84744,0.75197,0.87938,1,0.22743,0.54809,0.38956,1.02773,2.4929,0.87773,0.000858107,0.000858107,0.000858107
13,20.0142,0.93686,0.79142,0.9473,1,0.27963,0.61329,0.38846,1.1431,2.45915,0.90152,0.000923059,0.000923059,0.000923059
14,21.393,0.94374,0.74524,0.88286,0.81115,0.30709,0.55558,0.35411,1.11816,2.37189,0.90244,0.000986744,0.000986744,0.000986744
15,22.8204,0.90609,0.77768,0.89874,0.64846,0.36313,0.57309,0.35883,1.06526,2.23696,0.8871,0.00104916,0.00104916,0.00104916
16,24.1962,0.91001,0.74329,0.92783,0.69016,0.47357,0.63855,0.41539,1.03296,2.13343,0.88539,0.00111031,0.00111031,0.00111031
17,25.5725,0.98307,0.71749,0.93473,0.74683,0.55747,0.76283,0.50273,1.031,2.00355,0.89053,0.0011702,0.0011702,0.0011702
18,27.0463,0.92624,0.74838,0.91394,0.8684,0.72742,0.92019,0.58964,1.0401,1.67871,0.9013,0.00122881,0.00122881,0.00122881
19,28.4643,0.88341,0.67707,0.90558,0.92962,0.8321,0.94367,0.64887,0.97242,1.54112,0.89035,0.00128616,0.00128616,0.00128616
20,29.8464,0.91701,0.74029,0.90517,0.90639,0.83869,0.94852,0.64922,0.98243,1.55988,0.90277,0.00134224,0.00134224,0.00134224
21,31.2931,0.90082,0.71334,0.88239,0.94775,0.85827,0.95893,0.63552,1.01269,1.57354,0.90194,0.00139706,0.00139706,0.00139706
22,32.6782,0.91479,0.72397,0.95678,0.89802,0.90142,0.96494,0.68028,1.01409,1.38159,0.90533,0.0014506,0.0014506,0.0014506
23,34.1962,0.89263,0.69751,0.93553,0.96066,0.96127,0.98101,0.69142,0.98479,1.17402,0.89942,0.00150288,0.00150288,0.00150288
24,35.8173,0.91369,0.9607,0.98993,0.96143,0.98144,0.98334,0.63329,1.13162,1.096,0.96119,0.0015539,0.0015539,0.0015539
25,37.4815,0.98612,0.66484,0.95424,0.96873,0.99213,0.98735,0.64984,1.06978,1.00497,0.94477,0.00160364,0.00160364,0.00160364
26,39.0308,0.85405,0.65037,0.89364,0.96049,0.99213,0.98808,0.68178,1.00743,0.92921,0.91298,0.001604,0.001604,0.001604
27,40.5334,0.9565,0.69887,0.89909,0.96776,0.99213,0.98834,0.70309,0.95618,0.88253,0.91117,0.00158816,0.00158816,0.00158816
28,41.9847,0.81002,0.63354,0.88957,0.96553,0.99213,0.98804,0.66612,1.00254,0.89018,0.91797,0.00157232,0.00157232,0.00157232
29,43.4663,0.94197,0.69093,0.88136,0.96947,0.98425,0.98745,0.66553,1.04139,0.85045,0.92506,0.00155648,0.00155648,0.00155648
30,44.972,0.92369,0.70753,0.89231,0.97684,0.99621,0.98605,0.71542,0.94312,0.74017,0.90474,0.00154064,0.00154064,0.00154064
31,46.8353,0.8375,0.61331,0.90487,0.96875,0.99213,0.98401,0.72713,0.9131,0.70883,0.90489,0.0015248,0.0015248,0.0015248
32,50.389,0.85924,0.63172,0.92288,0.9605,0.99213,0.98406,0.69201,0.95565,0.68966,0.89712,0.00150896,0.00150896,0.00150896
33,52.7704,0.91048,0.63936,0.91692,0.98436,0.99098,0.98322,0.69741,0.94878,0.67783,0.90035,0.00149312,0.00149312,0.00149312
34,54.5312,0.94324,0.62205,0.88474,0.97987,0.99213,0.98266,0.71504,0.95205,0.69005,0.89963,0.00147728,0.00147728,0.00147728
35,57.4791,0.78444,0.59879,0.88442,0.98331,0.99213,0.9814,0.71433,0.94733,0.69536,0.89164,0.00146144,0.00146144,0.00146144
