epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.23627,1.58183,4.20608,1.70886,0,0,0,0,1.51143,4.35225,1.78064,0,0,0
2,2.36957,1.76378,4.55584,1.57642,0,0,0,0,1.39003,4.35387,1.73736,1.6505e-05,1.6505e-05,1.6505e-05
3,3.51765,1.43201,4.12245,1.47393,0,0,0,0,1.25203,4.24474,1.65428,3.26799e-05,3.26799e-05,3.26799e-05
4,4.619,2.19698,4.76048,1.84653,0,0,0,0,1.1394,4.08445,1.51368,4.85247e-05,4.85247e-05,4.85247e-05
5,5.7545,1.41243,4.20225,1.67193,0,0,0,0,1.06527,3.99397,1.39201,6.40395e-05,6.40395e-05,6.40395e-05
6,6.87129,1.88659,4.08926,1.60437,0,0,0,0,0.93889,4.02164,1.29554,7.92242e-05,7.92242e-05,7.92242e-05
7,7.96787,0.80408,3.83461,1.17115,0.00427,0.5,0.05198,0.04543,0.8369,4.00401,1.23446,9.40788e-05,9.40788e-05,9.40788e-05
8,9.06753,0.95086,3.56886,1.2303,0.00403,0.5,0.3725,0.19249,0.69993,3.95955,1.18382,0.000108603,0.000108603,0.000108603
9,10.1694,1.13619,3.69825,1.1587,0.00695,1,0.50037,0.21363,0.67259,3.94056,1.16128,0.000122798,0.000122798,0.000122798
10,11.2682,0.8494,3.69789,0.97021,0.00688,1,0.50198,0.25212,0.71008,3.87954,1.14242,0.000136662,0.000136662,0.000136662
11,12.3676,1.00441,3.60561,1.1612,0.00683,1,0.50198,0.26514,0.75422,3.77654,1.06731,0.000150197,0.000150197,0.000150197
12,13.4854,0.8421,3.14082,1.02252,0.00675,1,0.50219,0.31461,0.83064,3.73533,1.00413,0.000163401,0.000163401,0.000163401
13,14.602,1.08242,3.2626,0.97709,0.00668,1,0.50209,0.31387,0.96961,3.68956,0.98657,0.000176275,0.000176275,0.000176275
14,15.7334,0.79555,3.38617,0.90447,0.00667,1,0.50192,0.28027,1.02094,3.68518,1.04252,0.000188819,0.000188819,0.000188819
15,16.8517,0.98335,3.13184,0.98565,0.0067,1,0.50139,0.24965,1.06229,3.73499,1.11122,0.000201034,0.000201034,0.000201034
